node1,node2,trail,color,distance_miles,distance_time,estimate,required
shady_grove,metro_center,red,red,17.44,36,0,1
metro_center,gallery_place,red,red,0.29,2,0,1
gallery_place,fort_totten,red,red,4.19,13,1,1
fort_totten,glenmont,red,red,8.22,16,0,1
new_carrolton,stadium_armory,orange,orange,7.25,14,0,1
largo_town_center,stadium_armory,blue_silver,blue_gray,7.56,15,0,1
stadium_armory,lenfant_plaza,orange_blue_silver,orange_blue_gray,2.59,9,0,1
lenfant_plaza,metro_center,orange_blue_silver,orange_blue_gray,1.07,5,0,1
metro_center,rosslyn,orange_blue_silver,orange_blue_gray,2.5,7,0,1
rosslyn,east_falls_church,orange_silver,orange_gray,4.91,12,0,1
east_falls_church,vienna,orange,orange,6.61,10,0,1
east_falls_church,wiehle_reston_east,silver,gray,11.68,22,0,1
rosslyn,pentagon,blue,blue,2.16,5,0,1
pentagon,king_st_old_town,blue_silver,blue_yellow,4.96,12,0,1
king_st_old_town,franconia_springfield,blue,blue,6.89,11,0,1
king_st_old_town,huntington,yellow,yellow,1.2,3,0,1
pentagon,lenfant_plaza,yellow,yellow,2.19,5,0,1
lenfant_plaza,branch_ave,green,green,8.27,19,0,1
lenfant_plaza,gallery_place,green_yellow,green_yellow,0.91,3,0,1
gallery_place,fort_totten,green_yellow,green_yellow,3.95,13,1,1
fort_totten,greenbelt,green_yellow,green_yellow,7.04,12,0,1
