id,x,y
shady_grove,39.1199685,-77.1647195
metro_center,38.8983313,-77.0287949
gallery_place,38.8984354,-77.022499
fort_totten,38.9517231,-77.0021153
glenmont,39.061825,-77.0535409
new_carrolton,38.9481976,-76.8716589
stadium_armory,38.8868814,-76.9772274
largo_town_center,38.9005934,-76.8445489
lenfant_plaza,38.8848386,-77.0219196
rosslyn,38.8958052,-77.0719079
east_falls_church,38.8860782,-77.1570664
vienna,38.8783581,-77.271811
wiehle_reston_east,38.9477027,-77.3399206
pentagon,38.8692426,-77.0537664
king_st_old_town,38.8072485,-77.0600084
franconia_springfield,38.766411,-77.1682579
huntington,38.7938547,-77.0752877
branch_ave,38.8270428,-76.9123798
greenbelt,39.0110214,-76.9110657
